name,name_hiragana,name_english,search_terms
Gucci,,Gucci,"{gucci,グッチ}"
Prada,,Prada,"{prada,プラダ}"
Louis Vuitton,,Louis Vuitton,"{louis vuitton,ルイヴィトン,ルイビトン}"
Dior,,Dior,"{dior,ディオール}"
Chanel,,Chanel,"{chanel,シャネル}"
Hermès,,Hermes,"{hermes,エルメス}"
Burberry,,Burberry,"{burberry,バーバリー}"
Balenciaga,,Balenciaga,"{balenciaga,バレンシアガ}"
Saint Laurent,,Saint Laurent,"{saint laurent,サンローラン,イヴサンローラン}"
Versace,,Versace,"{versace,ヴェルサーチ}"
Fendi,,Fendi,"{fendi,フェンディ}"
Givenchy,,Givenchy,"{givenchy,ジバンシィ,ジバンシー}"
Valentino,,Valentino,"{valentino,ヴァレンティノ}"
Bottega Veneta,,Bottega Veneta,"{bottega veneta,ボッテガヴェネタ}"
Celine,,Celine,"{celine,セリーヌ}"
Alexander McQueen,,Alexander McQueen,"{alexander mcqueen,アレキサンダーマックイーン}"
Loewe,,Loewe,"{loewe,ロエベ}"
Miu Miu,,Miu Miu,"{miu miu,ミュウミュウ}"
Tom Ford,,Tom Ford,"{tom ford,トムフォード}"
Balmain,,Balmain,"{balmain,バルマン}"
Dolce & Gabbana,,Dolce & Gabbana,"{dolce & gabbana,ドルチェ&ガッバーナ,ドルガバ}"
Armani,,Armani,"{armani,アルマーニ}"
Salvatore Ferragamo,,Salvatore Ferragamo,"{salvatore ferragamo,フェラガモ}"
Cartier,,Cartier,"{cartier,カルティエ}"
Rolex,,Rolex,"{rolex,ロレックス}"
Tiffany & Co.,,Tiffany & Co.,"{tiffany,ティファニー}"
Bulgari,,Bulgari,"{bulgari,bvlgari,ブルガリ}"
Montblanc,,Montblanc,"{montblanc,モンブラン}"
Brunello Cucinelli,,Brunello Cucinelli,"{brunello cucinelli,ブルネロクチネリ}"
Max Mara,,Max Mara,"{max mara,マックスマーラ}"
ユニクロ,ゆにくろ,UNIQLO,"{uniqlo,ユニクロ,ゆにくろ}"
GU,じーゆー,GU,"{gu,ジーユー}"
無印良品,むじるしりょうひん,MUJI,"{muji,無印,むじ}"
H&M,えいちあんどえむ,H&M,"{h&m,エイチアンドエム}"
ZARA,ざら,ZARA,"{zara,ザラ}"
GAP,ぎゃっぷ,GAP,"{gap,ギャップ}"
BEAMS,びーむす,BEAMS,"{beams,ビームス}"
ナイキ,ないき,NIKE,"{nike,ナイキ}"
アディダス,あでぃだす,Adidas,"{adidas,アディダス}"
プーマ,ぷーま,PUMA,"{puma,プーマ}"
リーバイス,りーばいす,Levi's,"{levis,levi's,リーバイス}"
ラコステ,らこすて,Lacoste,"{lacoste,ラコステ}"
ポロ・ラルフローレン,ぽろらるふろーれん,Polo Ralph Lauren,"{polo ralph lauren,ポロラルフローレン,ラルフローレン}"
Under Armour,,Under Armour,"{under armour,アンダーアーマー}"
New Balance,,New Balance,"{new balance,ニューバランス}"
Reebok,,Reebok,"{reebok,リーボック}"
Vans,,Vans,"{vans,ヴァンズ,バンズ}"
Converse,,Converse,"{converse,コンバース}"
Champion,,Champion,"{champion,チャンピオン}"
Columbia,,Columbia,"{columbia,コロンビア}"
Patagonia,,Patagonia,"{patagonia,パタゴニア}"
The North Face,,The North Face,"{the north face,ノースフェイス}"
Timberland,,Timberland,"{timberland,ティンバーランド}"
L.L.Bean,,L.L.Bean,"{l.l.bean,llbean,エルエルビーン}"
ASICS,あしっくす,ASICS,"{asics,アシックス}"
Mizuno,みずの,Mizuno,"{mizuno,ミズノ}"
Onitsuka Tiger,おにつかたいがー,Onitsuka Tiger,"{onitsuka tiger,オニツカタイガー}"
Descente,でせんと,Descente,"{descente,デサント}"
Yonex,よねっくす,Yonex,"{yonex,ヨネックス}"
Supreme,,Supreme,"{supreme,シュプリーム}"
A Bathing Ape,,A Bathing Ape,"{a bathing ape,bape,アベイシングエイプ}"
Off-White,,Off-White,"{off-white,オフホワイト}"
Stussy,,Stussy,"{stussy,ステューシー,ストゥーシー}"
Stone Island,,Stone Island,"{stone island,ストーンアイランド}"
Comme des Garçons,,Comme des Garçons,"{comme des garcons,コムデギャルソン}"
sacai,,sacai,"{sacai,サカイ}"
ISSEY MIYAKE,,ISSEY MIYAKE,"{issey miyake,イッセイミヤケ}"
Yohji Yamamoto,,Yohji Yamamoto,"{yohji yamamoto,ヨウジヤマモト}"
UNITED ARROWS,ゆないてっどあろーず,UNITED ARROWS,"{united arrows,ユナイテッドアローズ,ゆないてっどあろーず}"
